registro_ans,fonte
417742,Medicina de Grupo
417751,Outros
417769,Outros
417777,Administradora de Benefícios
417785,Outros
417793,Administradora de Benefícios
417807,Administradora de Benefícios
417823,Medicina de Grupo
417858,Administradora de Benefícios
417866,Administradora de Benefícios
417882,Administradora de Benefícios
417891,Outros
417904,Administradora de Benefícios
417912,Administradora de Benefícios
417921,Administradora de Benefícios
417939,Administradora de Benefícios
417947,Medicina de Grupo
417955,Outros
417980,Administradora de Benefícios
417998,Outros
418005,Administradora de Benefícios
418013,Outros
418021,Medicina de Grupo
418030,Outros
418048,Outros
418056,Administradora de Benefícios
418072,Outros
418081,Administradora de Benefícios
418099,Administradora de Benefícios
418102,Administradora de Benefícios
418129,Outros
418137,Medicina de Grupo
418145,Autogestão
418161,Outros
418170,Medicina de Grupo
418188,Administradora de Benefícios
418196,Outros
418218,Medicina de Grupo
418226,Medicina de Grupo
418234,Administradora de Benefícios
418277,Outros
418285,Outros
418293,Administradora de Benefícios
418307,Outros
418323,Outros
418331,Medicina de Grupo
418374,Outros
418382,Administradora de Benefícios
418391,Administradora de Benefícios
418404,Administradora de Benefícios
418412,Filantropia
418421,Administradora de Benefícios
418439,Outros
418480,Administradora de Benefícios
418501,Medicina de Grupo
418528,Outros
418544,Administradora de Benefícios
418552,Outros
418561,Administradora de Benefícios
418951,Medicina de Grupo
419133,Autogestão
421715,Seguradora Especializada em Saúde
421766,Autogestão
999998,Outros
999999,Outros
